ref;lat;lon;addr:full;addr:state;addr:ISO3166-2-lvl4;addr:district;addr:municipality;addr:city;addr:road;addr:postcode;fuel:lpg;fuel:diesel;fuel:octane_92;fuel:octane_95;fuel:octane_98;fuel:adblue;toilets;internet_access:wifi;generator;amenity:charging_station;service:coffee;shop;parking;compressed_air;payment:terminal;invincibility_point;amenity:fast_food;name;name:en;name:uk;brand;brand:uk;brand:en;operator;contact:phone;contact:email;contact:website;opening_hours;amenity;brand:wikidata;brand:wikipedia;contact:facebook;contact:instagram;contact:twitter;contact:tiktok;contact:youtube;contact:linkedin
2146;50.401033;30.910018;"Київська обл.; с.Дударків; автодорога північно-східного обгону Києва 13 км + 300 м справа";Київська область;UA-32;Бориспільський;Пристолична сільська громада;с. Дударків;  ;08303;;;yes;yes;yes;;yes;yes;yes;;yes;yes;;;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
23/026;49.018146;31.060772;"Черкаська обл.; м. Ватутіне; вул. Звенигородська; буд .53";Черкаська область;UA-71;Ватутінський;Ватутінська міська громада;м. Ватутіне;вулиця Звенигородська 53;20250;;yes;yes;yes;yes;;yes;;yes;;;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
01/016;49.379583;28.514599;"Вінницька обл.; Калинівський р-н.; м. Калинівка; автошлях Житомир-Кишинів 107км";Вінницька область;UA-05;Хмільницький;Калинівська міська громада;м. Калинівка;  ;23217;;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;yes;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
14004;46.964472;32.033209;"Миколаїв; вул.10-а Слобідська; 2";Миколаївська область;UA-48;Центральний;Миколаївська міська громада;м. Миколаїв;вулиця 10-та Слобідська 2;54000;;;yes;yes;yes;;yes;;yes;;yes;yes;;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
23/009;49.408384;32.110203;"м. Черкаси; вул. Чигиринська; буд. 60";Черкаська область;UA-71;Черкаський;Черкаська міська громада;м. Черкаси;вулиця Чигиринська 60;18030;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;yes;;yes;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
02/023;50.753973;25.326905;"Волинська обл.; м. Луцьк; вул. Яровиця; буд. 3";Волинська область;UA-07;Луцький;Луцька міська громада;м. Луцьк;вулиця Яровиця 3;43025;;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
14/002;47.087472;31.931878;"Миколаївська обл.; Новоодеський район; с.Костянтинівка; вул.Миколаївська; буд.6";Миколаївська область;UA-48;Миколаївський;Костянтинівська сільська громада;с. Костянтинівка;вулиця Миколаївська 6;56663;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
17/031;50.385161;25.737979;"Рівненська обл.; м. Дубно; вул. Залізнична; буд. 144";Рівненська область;UA-56;Дубенський;Дубенська міська громада;м. Дубно;вулиця Залізнична 144;35600;;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
3021;48.539675;35.088412;"Дніпропетровська обл.; смт.Слобожанське (колишня назва Ювілейне); вул.Бабенка; 1";Дніпропетровська область;UA-12;Дніпровський;Слобожанська селищна громада;смт. Слобожанське;вулиця Бабенка 1;52005;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2114;50.438457;30.611247;"Київ; пр. Соборності; 28";Київська область;UA-30;Дніпровський;Київська міська рада;м. Київ;проспект Соборності 28;02152;;;yes;yes;yes;;yes;;yes;;yes;yes;yes;;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
08/006;48.911389;24.770205;"м. Івано-Франківськ; с. Угорники; вул. Тисменицька; 313";Івано-Франківська область;UA-26;Івано-Франківський;Івано-Франківська міська громада;с. Угорники;вулиця Тисменицька 313;76492;;yes;yes;yes;yes;;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
13/055;49.22155;23.800383;"Львівська обл.; Стрийський р-н.; с. Дуліби; вул. Шевченка; буд. 418";Львівська область;UA-46;Стрийський;Грабовецько-Дулібівська сільська громада;с. Дуліби;вулиця Шевченка 418;82434;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
14007;47.823896;31.189805;"Миколаївська обл.; м.Южноукраїнськ; тр.Миколаїв-Первомайськ 122км (вул. Дружби Народів; 5-Б)";Миколаївська область;UA-48;Вознесенський;Южноукраїнська міська громада;м. Южноукраїнськ;вулиця Дружби Народів ;55000;;;yes;yes;yes;;yes;;yes;;yes;yes;;;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
09/009;50.479248;30.360851;"м. Київ; пр-т Академіка Палладіна; буд. 46-А";Київська область;UA-30;Святошинський;Київська міська рада;м. Київ;проспект Академіка Палладіна 46-А;04216;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
23/022;49.024671;31.417814;"Черкаська обл.; Шполянський район; м. Шпола; вул. Героїв Крут; буд. 45";Черкаська область;UA-71;Звенигородський;Шполянська міська громада;м. Шпола;вулиця Героїв Крут 45;20603;;yes;yes;yes;yes;yes;yes;;yes;;;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
5002;48.9375;24.7092;"Івано-Франківськ; вул.Надрічна; 3";Івано-Франківська область;UA-26;Івано-Франківський;Івано-Франківська міська громада;м. Івано-Франківськ;вулиця Надрічна 3;76000;;;yes;yes;yes;;yes;yes;;yes;;;yes;yes;yes;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
17007;49.552669;23.98144;"Львівська обл.; с.Тростянець; Миколаївський р-н; урочище Трикутник; 1";Львівська область;UA-46;Стрийський;Тростянецька сільська громада;с. Тростянець;урочище Трикутник 1;81614;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10/010;48.349506;33.263302;"Кіровоградська обл.; Петрівський район; смт.Петрове; вул. Степова; 1";Кіровоградська область;UA-35;Олександрійський;Петрівська селищна громада;с-ще Петрове;вулиця Степова 1;28300;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
17/019;51.254161;26.047782;"Рівненська обл.; Володимирецький р-н; с. Полиці; вул. Ковельська; буд. 3";Рівненська область;UA-56;Вараський;Полицька сільська громада;с. Полиці;вулиця Ковельська 3;34375;;yes;yes;yes;yes;yes;yes;;yes;;yes;yes;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10001;49.5807;34.0941;"Полтавська обл.; с.Решетилівка; тр.Київ-Харків 306км";Полтавська область;UA-53;Решетилівський;Решетилівська міська громада;с. Решетилівка;  ;38400;;;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2130;50.3775;30.8681;"Київська обл.; с/рада Великоолександрівська; тр.Київ-Харків-Довжанський (на Ростов-на-Дону)  31 км + 300 м (ліворуч); Бориспільский р.";Київська область;UA-32;Бориспільський;Гірська сільська громада;с/р Великоолександрівська;  ;08321;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2142;50.4222;30.5538;"Київ; б-р Миколи Міхновського (Дружби Народів); 40-А";Київська область;UA-30;Печерський;Київська міська рада;м. Київ; бул. Дружби Народів 40а;01051;;;yes;yes;yes;;yes;yes;yes;;yes;yes;yes;;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
4004;47.827642;35.136691;"Запоріжжя; вул. Перемоги; 74-А";Запорізька область;UA-23;Запорізький;Запорізька міська громада;м. Запоріжжя;вулиця Перемоги 74а;69005;;;yes;yes;yes;;yes;;yes;;yes;yes;yes;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
19/009;49.550895;25.635725;"м.Тернопіль; вул.15 квітня; 1 в";Тернопільська область;UA-61;Тернопільський;Тернопільська міська громада;м. Тернопіль;вулиця 45397 1 в;46400;;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
14/006;47.471642;31.463492;"Миколаївська обл.; Вознесенський р-н; с. Дорошівка; вул. Миру; буд. 121";Миколаївська область;UA-48;Вознесенський;Дорошівська сільська громада;с. Дорошівка;вулиця Миру 121;56570;;yes;yes;yes;yes;yes;yes;;;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/025;48.004645;23.002308;"Закарпатська обл.; Виноградівський р-н.; с. Неветленфолу; вул. Заставська; 11";Закарпатська область;UA-21;Берегівський;Пийтерфолвівська сільська громада;с. Неветленфолу;вулиця Заставська 11;90365;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
23/033;49.755895;31.460224;"Черкаська обл.; м. Канів; вул. Енергетиків; буд. 12";Черкаська область;UA-71;Канівський;Канівська міська громада;м. Канів;вулиця Енергетиків 12;19003;;yes;yes;yes;yes;yes;yes;;yes;;;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10/015;48.498226;32.319215;"Кіровоградська обл.; м. Кропивницький;  вул. Генерала Родимцева; 108-А";Кіровоградська область;UA-35;Подільський;Кропивницька міська громада;м. Кропивницький;вулиця Героїв Маріуполя ;25004;;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
08/007;48.454777;24.556842;"Івано-Франківська обл.; м. Яремче; вул. Свободи; буд. 232";Івано-Франківська область;UA-26;Надвірнянський;Яремчанська міська громада;м. Яремче;вулиця Свободи 232;78501;;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
08/002;48.995586;24.594897;"Івано-Франківська обл.; Тисменецький р-н; с. Майдан; Калуське шосе; буд. 4";Івано-Франківська область;UA-26;Івано-Франківський;Ямницька сільська громада;с. Майдан;шосе Калуське 4;77420;;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10/013;48.577195;32.242592;"Кіровоградська обл.; м. Кропивницький; вул. Холодноярська; 179";Кіровоградська область;UA-35;Кропивницький;Кропивницька міська громада;м. Кропивницький;вулиця Холодноярська ;25018;yes;yes;yes;yes;yes;yes;yes;;yes;;;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
3023;48.552396;35.879781;"Дніпропетровська обл.; м.Павлоград; вул.Харківська; 14-А";Дніпропетровська область;UA-12;Павлоградський;Павлоградська міська громада;м. Павлоград;вулиця Харківська 14а;51403;;;yes;yes;yes;;yes;yes;yes;;yes;yes;;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
23/052;48.790577;29.935584;"Черкаська обл.; Христинівський р-н; Малосевастянівська с/рада; автодорога Львів-Кіровоград-Знам""янка 503 км+700м.";Черкаська область;UA-71;Уманський;Христинівська міська громада;с. Мала Севастянівка;  ;20030;;yes;yes;yes;yes;yes;yes;;yes;;;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
08/004;48.904161;24.682471;"Івано-Франківська обл.; с.Крихівці; вул. О.Довженка; буд.27";Івано-Франківська область;UA-26;Івано-Франківський;Івано-Франківська міська громада;с. Крихівці;вулиця О.Довженка 27;76026;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2032;50.546534;30.192227;"Київська обл.; м.Буча; вул.Депутатська; 42";Київська область;UA-32;Бучанський;Бучанська міська громада;м. Буча;вулиця Депутатська 42;08294;;;yes;yes;yes;;yes;yes;yes;;yes;yes;;;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
23/007;48.991468;29.826188;"Черкаська обл.; Монастирищенський район; м. Монастирище; вул. Соборна; буд. 116";Черкаська область;UA-71;Уманський;Монастирищенська міська громада;м. Монастирище;вулиця Соборна 116;19161;;yes;yes;yes;yes;;yes;;yes;;;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
